Depth (cm)	Fine mass added to Tube (g)
0.5	1.485
1.5	1.564
2.5	1.549
3.5	1.511
4.5	1.54
5.5	1.572
6.5	1.579
7.5	1.56
8.5	1.576
9.5	1.516
10.5	1.541
11.5	1.574
12.5	1.577
13.5	1.541
14.5	1.542
15.5	1.558
16.5	1.528
17.5	1.539
18.5	1.518
19.5	1.523
20.5	1.521
21.5	1.575
22.5	1.558
23.5	1.508
24.5	1.528
25.5	1.536
26.5	1.5
27.5	1.502
28.5	1.558
29.5	1.549
30.5	1.502
31.5	1.505
32.5	1.514
33.5	1.556
34.5	1.525
35.5	1.525
36.5	1.528
37.5	1.575
38.5	1.555
39.5	1.54
40.5	1.559
41.5	1.515
42.5	1.545
43.5	1.532
44.5	1.534
45.5	1.504
46.5	1.539
47.5	1.527
