depth,pbtotal,upb,ratotal,ura,dbd,udbd,year
0.5,10.03964175,0.081069046,1.26,0.54,0.24714392,0.004845959,2021.4
1.5,10.14195723,0.072216018,,,0.220351571,0.004320619,
2.5,9.971097689,0.072273239,,,0.236350588,0.004634325,
3.5,9.972238176,0.072211268,,,0.238215973,0.004670901,
4.5,10.22164794,0.072273495,,,0.236619426,0.004639597,
5.5,10.08431977,0.072244945,,,0.242925468,0.004763244,
6.5,8.718986431,0.072544705,,,0.247632469,0.004855539,
7.5,8.983222738,0.07256905,,,0.248891938,0.004880234,
8.5,6.179331694,0.072175902,,,0.24943846,0.00489095,
9.5,5.511586042,0.07227119,,,0.248330524,0.004869226,
10.5,4.962844904,0.072382177,,,0.248990615,0.004882169,
11.5,4.750549974,0.072680224,,,0.252820956,0.004957274,
12.5,3.521928464,0.084190023,,,0.25575906,0.005014884,
13.5,4.381588521,0.079048877,,,0.234320113,0.004594512,
14.5,4.797197687,0.076464151,,,0.216822839,0.004251428,
15.5,6.82525774,0.073037775,,,0.242809275,0.004760966,
16.5,8.25384187,0.072631971,,,0.258358006,0.005065843,
17.5,6.787063001,0.073110679,,,0.258756017,0.005073647,
18.5,7.023278494,0.073761729,,,0.248892663,0.004880248,
19.5,6.721028907,0.07357231,,,0.243517111,0.004774845,
20.5,7.007017803,0.073740152,,,0.24489943,0.00480195,
21.5,6.64915116,0.074100276,,,0.241082744,0.004727113,
22.5,6.105327577,0.074614416,,,0.239385727,0.004693838,
23.5,6.013275568,0.072267271,,,0.232288352,0.004554674,
24.5,3.830288116,0.072925639,,,0.234508434,0.004598205,
25.5,5.347663644,0.072292765,,,0.240933372,0.004724184,
26.5,5.308716241,0.072313473,,,0.250881497,0.004919245,
27.5,5.163358195,0.076293712,,,0.265027607,0.00519662,
28.5,3.425414285,0.088251447,,,0.263433989,0.005165372,
29.5,3.323236182,0.100712296,,,0.254049152,0.004981356,
30.5,3.160369143,0.10828847,,,0.260811857,0.005113958,
31.5,3.663908644,0.08773268,,,0.253261281,0.004965907,
32.5,4.746308463,0.079404222,,,0.263139311,0.005159594,
33.5,4.174923454,0.082447998,,,0.26659665,0.005227385,
34.5,3.625245963,0.099793105,,,0.268032667,0.005255542,
35.5,3.276824356,0.105000401,,,0.294678316,0.005778006,
36.5,3.712934052,0.097267988,,,0.294200365,0.005768635,
37.5,3.215562865,0.116843151,,,0.278593047,0.005462609,
38.5,2.420513529,0.18749783,,,0.264324647,0.005182836,
39.5,2.398286748,0.078290223,,,0.259028213,0.005078985,
40.5,1.737746126,0.087229623,,,0.249194864,0.004886174,
41.5,1.419590551,0.10180294,,,0.216256576,0.004240325,
42.5,1.843482407,0.093761203,,,0.206319906,0.004045488,
43.5,2.11826903,0.213706523,,,0.205434282,0.004028123,
44.5,1.267979207,0.544200934,,,0.208472633,0.004087699,
45.5,1.570361581,0.458685589,,,0.213518939,0.004186646,
46.5,1.351424224,0.570242829,,,0.22259203,0.00436455,
47.5,1.285586397,0.675301272,,,0.210781012,0.004132961,
